"Year","Month","Product group","Product","Average price incl. VAT"
"2018"," 2","Gasoline","Euro Super 95 E5 (€/L)",1.422
"2018"," 2","Gasoline","Euro Super 95 E10 (€/L)",1.431
"2018"," 2","Gasoline","Super Plus 98 E5 (€/L)",1.499
"2018"," 2","Gasoline","Super Plus 98 E10 (€/L)",1.507
"2018"," 2","Road transport diesel","Road Diesel B7 (€/L)",1.388
"2018"," 2","Road transport diesel","Road Diesel B10 (€/L)",
"2018"," 2","Road transport diesel","Road Diesel B20 (€/L)",
"2018"," 2","Road transport diesel","Road Diesel B30 (€/L)",
"2018"," 2","Road transport diesel","Road Diesel XTL (€/L)",
"2018"," 2"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.633
"2018"," 2"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.606
"2018"," 2","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.633
"2018"," 2","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.606
"2018"," 2","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.499
"2018"," 3","Gasoline","Euro Super 95 E5 (€/L)",1.398
"2018"," 3","Gasoline","Euro Super 95 E10 (€/L)",1.418
"2018"," 3","Gasoline","Super Plus 98 E5 (€/L)",1.474
"2018"," 3","Gasoline","Super Plus 98 E10 (€/L)",1.482
"2018"," 3","Road transport diesel","Road Diesel B7 (€/L)",1.402
"2018"," 3","Road transport diesel","Road Diesel B10 (€/L)",
"2018"," 3","Road transport diesel","Road Diesel B20 (€/L)",
"2018"," 3","Road transport diesel","Road Diesel B30 (€/L)",
"2018"," 3","Road transport diesel","Road Diesel XTL (€/L)",
"2018"," 3"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.636
"2018"," 3"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.609
"2018"," 3","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.634
"2018"," 3","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.607
"2018"," 3","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.497
"2018"," 4","Gasoline","Euro Super 95 E5 (€/L)",1.461
"2018"," 4","Gasoline","Euro Super 95 E10 (€/L)",1.475
"2018"," 4","Gasoline","Super Plus 98 E5 (€/L)",1.542
"2018"," 4","Gasoline","Super Plus 98 E10 (€/L)",1.55
"2018"," 4","Road transport diesel","Road Diesel B7 (€/L)",1.443
"2018"," 4","Road transport diesel","Road Diesel B10 (€/L)",
"2018"," 4","Road transport diesel","Road Diesel B20 (€/L)",
"2018"," 4","Road transport diesel","Road Diesel B30 (€/L)",
"2018"," 4","Road transport diesel","Road Diesel XTL (€/L)",
"2018"," 4"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.678
"2018"," 4"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.65
"2018"," 4","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.675
"2018"," 4","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.647
"2018"," 4","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.515
"2018"," 5","Gasoline","Euro Super 95 E5 (€/L)",1.512
"2018"," 5","Gasoline","Euro Super 95 E10 (€/L)",1.512
"2018"," 5","Gasoline","Super Plus 98 E5 (€/L)",1.597
"2018"," 5","Gasoline","Super Plus 98 E10 (€/L)",1.605
"2018"," 5","Road transport diesel","Road Diesel B7 (€/L)",1.505
"2018"," 5","Road transport diesel","Road Diesel B10 (€/L)",
"2018"," 5","Road transport diesel","Road Diesel B20 (€/L)",
"2018"," 5","Road transport diesel","Road Diesel B30 (€/L)",
"2018"," 5","Road transport diesel","Road Diesel XTL (€/L)",
"2018"," 5"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.737
"2018"," 5"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.71
"2018"," 5","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.724
"2018"," 5","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.696
"2018"," 5","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.546
"2018"," 6","Gasoline","Euro Super 95 E5 (€/L)",1.523
"2018"," 6","Gasoline","Euro Super 95 E10 (€/L)",1.523
"2018"," 6","Gasoline","Super Plus 98 E5 (€/L)",1.609
"2018"," 6","Gasoline","Super Plus 98 E10 (€/L)",1.617
"2018"," 6","Road transport diesel","Road Diesel B7 (€/L)",1.521
"2018"," 6","Road transport diesel","Road Diesel B10 (€/L)",
"2018"," 6","Road transport diesel","Road Diesel B20 (€/L)",
"2018"," 6","Road transport diesel","Road Diesel B30 (€/L)",
"2018"," 6","Road transport diesel","Road Diesel XTL (€/L)",
"2018"," 6"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.737
"2018"," 6"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.71
"2018"," 6","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.73
"2018"," 6","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.702
"2018"," 6","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.545
"2018"," 7","Gasoline","Euro Super 95 E5 (€/L)",1.509
"2018"," 7","Gasoline","Euro Super 95 E10 (€/L)",1.511
"2018"," 7","Gasoline","Super Plus 98 E5 (€/L)",1.592
"2018"," 7","Gasoline","Super Plus 98 E10 (€/L)",1.6
"2018"," 7","Road transport diesel","Road Diesel B7 (€/L)",1.533
"2018"," 7","Road transport diesel","Road Diesel B10 (€/L)",1.544
"2018"," 7","Road transport diesel","Road Diesel B20 (€/L)",1.557
"2018"," 7","Road transport diesel","Road Diesel B30 (€/L)",1.583
"2018"," 7","Road transport diesel","Road Diesel XTL (€/L)",1.853
"2018"," 7"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.731
"2018"," 7"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.704
"2018"," 7","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.72
"2018"," 7","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.692
"2018"," 7","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.541
"2018"," 8","Gasoline","Euro Super 95 E5 (€/L)",1.525
"2018"," 8","Gasoline","Euro Super 95 E10 (€/L)",1.53
"2018"," 8","Gasoline","Super Plus 98 E5 (€/L)",1.605
"2018"," 8","Gasoline","Super Plus 98 E10 (€/L)",1.613
"2018"," 8","Road transport diesel","Road Diesel B7 (€/L)",1.549
"2018"," 8","Road transport diesel","Road Diesel B10 (€/L)",1.557
"2018"," 8","Road transport diesel","Road Diesel B20 (€/L)",1.569
"2018"," 8","Road transport diesel","Road Diesel B30 (€/L)",1.595
"2018"," 8","Road transport diesel","Road Diesel XTL (€/L)",1.857
"2018"," 8"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.736
"2018"," 8"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.708
"2018"," 8","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.73
"2018"," 8","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.702
"2018"," 8","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.576
"2018"," 9","Gasoline","Euro Super 95 E5 (€/L)",1.528
"2018"," 9","Gasoline","Euro Super 95 E10 (€/L)",1.53
"2018"," 9","Gasoline","Super Plus 98 E5 (€/L)",1.608
"2018"," 9","Gasoline","Super Plus 98 E10 (€/L)",1.616
"2018"," 9","Road transport diesel","Road Diesel B7 (€/L)",1.571
"2018"," 9","Road transport diesel","Road Diesel B10 (€/L)",1.577
"2018"," 9","Road transport diesel","Road Diesel B20 (€/L)",1.587
"2018"," 9","Road transport diesel","Road Diesel B30 (€/L)",1.606
"2018"," 9","Road transport diesel","Road Diesel XTL (€/L)",1.826
"2018"," 9"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.76
"2018"," 9"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.732
"2018"," 9","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.759
"2018"," 9","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.731
"2018"," 9","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.618
"2018","10","Gasoline","Euro Super 95 E5 (€/L)",1.511
"2018","10","Gasoline","Euro Super 95 E10 (€/L)",1.524
"2018","10","Gasoline","Super Plus 98 E5 (€/L)",1.596
"2018","10","Gasoline","Super Plus 98 E10 (€/L)",1.605
"2018","10","Road transport diesel","Road Diesel B7 (€/L)",1.614
"2018","10","Road transport diesel","Road Diesel B10 (€/L)",1.62
"2018","10","Road transport diesel","Road Diesel B20 (€/L)",1.629
"2018","10","Road transport diesel","Road Diesel B30 (€/L)",1.649
"2018","10","Road transport diesel","Road Diesel XTL (€/L)",1.87
"2018","10"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.803
"2018","10"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.775
"2018","10","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.8
"2018","10","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.772
"2018","10","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.637
"2018","11","Gasoline","Euro Super 95 E5 (€/L)",1.437
"2018","11","Gasoline","Euro Super 95 E10 (€/L)",1.449
"2018","11","Gasoline","Super Plus 98 E5 (€/L)",1.524
"2018","11","Gasoline","Super Plus 98 E10 (€/L)",1.533
"2018","11","Road transport diesel","Road Diesel B7 (€/L)",1.604
"2018","11","Road transport diesel","Road Diesel B10 (€/L)",1.622
"2018","11","Road transport diesel","Road Diesel B20 (€/L)",1.653
"2018","11","Road transport diesel","Road Diesel B30 (€/L)",1.714
"2018","11","Road transport diesel","Road Diesel XTL (€/L)",2.276
"2018","11"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.753
"2018","11"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.724
"2018","11","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.748
"2018","11","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.72
"2018","11","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.552
"2018","12","Gasoline","Euro Super 95 E5 (€/L)",1.364
"2018","12","Gasoline","Euro Super 95 E10 (€/L)",1.385
"2018","12","Gasoline","Super Plus 98 E5 (€/L)",1.445
"2018","12","Gasoline","Super Plus 98 E10 (€/L)",1.453
"2018","12","Road transport diesel","Road Diesel B7 (€/L)",1.508
"2018","12","Road transport diesel","Road Diesel B10 (€/L)",1.527
"2018","12","Road transport diesel","Road Diesel B20 (€/L)",1.56
"2018","12","Road transport diesel","Road Diesel B30 (€/L)",1.625
"2018","12","Road transport diesel","Road Diesel XTL (€/L)",2.209
"2018","12"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.653
"2018","12"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.625
"2018","12","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.653
"2018","12","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.625
"2018","12","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.508
"2019"," 1","Gasoline","Euro Super 95 E5 (€/L)",1.352
"2019"," 1","Gasoline","Euro Super 95 E10 (€/L)",1.375
"2019"," 1","Gasoline","Super Plus 98 E5 (€/L)",1.429
"2019"," 1","Gasoline","Super Plus 98 E10 (€/L)",1.437
"2019"," 1","Road transport diesel","Road Diesel B7 (€/L)",1.48
"2019"," 1","Road transport diesel","Road Diesel B10 (€/L)",1.495
"2019"," 1","Road transport diesel","Road Diesel B20 (€/L)",1.519
"2019"," 1","Road transport diesel","Road Diesel B30 (€/L)",1.567
"2019"," 1","Road transport diesel","Road Diesel XTL (€/L)",2.015
"2019"," 1"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.653
"2019"," 1"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.624
"2019"," 1","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.653
"2019"," 1","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.625
"2019"," 1","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.504
"2019"," 2","Gasoline","Euro Super 95 E5 (€/L)",1.384
"2019"," 2","Gasoline","Euro Super 95 E10 (€/L)",1.401
"2019"," 2","Gasoline","Super Plus 98 E5 (€/L)",1.468
"2019"," 2","Gasoline","Super Plus 98 E10 (€/L)",1.476
"2019"," 2","Road transport diesel","Road Diesel B7 (€/L)",1.521
"2019"," 2","Road transport diesel","Road Diesel B10 (€/L)",1.534
"2019"," 2","Road transport diesel","Road Diesel B20 (€/L)",1.555
"2019"," 2","Road transport diesel","Road Diesel B30 (€/L)",1.599
"2019"," 2","Road transport diesel","Road Diesel XTL (€/L)",2.011
"2019"," 2"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.697
"2019"," 2"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.669
"2019"," 2","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.697
"2019"," 2","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.668
"2019"," 2","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.522
"2019"," 3","Gasoline","Euro Super 95 E5 (€/L)",1.429
"2019"," 3","Gasoline","Euro Super 95 E10 (€/L)",1.447
"2019"," 3","Gasoline","Super Plus 98 E5 (€/L)",1.52
"2019"," 3","Gasoline","Super Plus 98 E10 (€/L)",1.528
"2019"," 3","Road transport diesel","Road Diesel B7 (€/L)",1.536
"2019"," 3","Road transport diesel","Road Diesel B10 (€/L)",1.545
"2019"," 3","Road transport diesel","Road Diesel B20 (€/L)",1.561
"2019"," 3","Road transport diesel","Road Diesel B30 (€/L)",1.592
"2019"," 3","Road transport diesel","Road Diesel XTL (€/L)",1.906
"2019"," 3"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.713
"2019"," 3"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.684
"2019"," 3","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.713
"2019"," 3","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.684
"2019"," 3","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.543
"2019"," 4","Gasoline","Euro Super 95 E5 (€/L)",1.515
"2019"," 4","Gasoline","Euro Super 95 E10 (€/L)",1.526
"2019"," 4","Gasoline","Super Plus 98 E5 (€/L)",1.609
"2019"," 4","Gasoline","Super Plus 98 E10 (€/L)",1.618
"2019"," 4","Road transport diesel","Road Diesel B7 (€/L)",1.546
"2019"," 4","Road transport diesel","Road Diesel B10 (€/L)",1.553
"2019"," 4","Road transport diesel","Road Diesel B20 (€/L)",1.564
"2019"," 4","Road transport diesel","Road Diesel B30 (€/L)",1.588
"2019"," 4","Road transport diesel","Road Diesel XTL (€/L)",2.046
"2019"," 4"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.734
"2019"," 4"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.705
"2019"," 4","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.732
"2019"," 4","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.703
"2019"," 4","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.549
"2019"," 5","Gasoline","Euro Super 95 E5 (€/L)",1.545
"2019"," 5","Gasoline","Euro Super 95 E10 (€/L)",1.558
"2019"," 5","Gasoline","Super Plus 98 E5 (€/L)",1.629
"2019"," 5","Gasoline","Super Plus 98 E10 (€/L)",1.638
"2019"," 5","Road transport diesel","Road Diesel B7 (€/L)",1.559
"2019"," 5","Road transport diesel","Road Diesel B10 (€/L)",1.565
"2019"," 5","Road transport diesel","Road Diesel B20 (€/L)",1.575
"2019"," 5","Road transport diesel","Road Diesel B30 (€/L)",1.596
"2019"," 5","Road transport diesel","Road Diesel XTL (€/L)",2.041
"2019"," 5"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.743
"2019"," 5"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.714
"2019"," 5","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.739
"2019"," 5","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.71
"2019"," 5","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.534
"2019"," 6","Gasoline","Euro Super 95 E5 (€/L)",1.474
"2019"," 6","Gasoline","Euro Super 95 E10 (€/L)",1.489
"2019"," 6","Gasoline","Super Plus 98 E5 (€/L)",1.53
"2019"," 6","Gasoline","Super Plus 98 E10 (€/L)",1.539
"2019"," 6","Road transport diesel","Road Diesel B7 (€/L)",1.497
"2019"," 6","Road transport diesel","Road Diesel B10 (€/L)",1.504
"2019"," 6","Road transport diesel","Road Diesel B20 (€/L)",1.516
"2019"," 6","Road transport diesel","Road Diesel B30 (€/L)",1.538
"2019"," 6","Road transport diesel","Road Diesel XTL (€/L)",1.975
"2019"," 6"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.677
"2019"," 6"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.648
"2019"," 6","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.677
"2019"," 6","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.648
"2019"," 6","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.477
"2019"," 7","Gasoline","Euro Super 95 E5 (€/L)",1.49
"2019"," 7","Gasoline","Euro Super 95 E10 (€/L)",1.51
"2019"," 7","Gasoline","Super Plus 98 E5 (€/L)",1.547
"2019"," 7","Gasoline","Super Plus 98 E10 (€/L)",1.555
"2019"," 7","Road transport diesel","Road Diesel B7 (€/L)",1.513
"2019"," 7","Road transport diesel","Road Diesel B10 (€/L)",1.519
"2019"," 7","Road transport diesel","Road Diesel B20 (€/L)",1.531
"2019"," 7","Road transport diesel","Road Diesel B30 (€/L)",1.554
"2019"," 7","Road transport diesel","Road Diesel XTL (€/L)",2.003
"2019"," 7"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.694
"2019"," 7"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.665
"2019"," 7","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.694
"2019"," 7","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.665
"2019"," 7","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.479
"2019"," 8","Gasoline","Euro Super 95 E5 (€/L)",1.457
"2019"," 8","Gasoline","Euro Super 95 E10 (€/L)",1.473
"2019"," 8","Gasoline","Super Plus 98 E5 (€/L)",1.515
"2019"," 8","Gasoline","Super Plus 98 E10 (€/L)",1.524
"2019"," 8","Road transport diesel","Road Diesel B7 (€/L)",1.495
"2019"," 8","Road transport diesel","Road Diesel B10 (€/L)",1.502
"2019"," 8","Road transport diesel","Road Diesel B20 (€/L)",1.514
"2019"," 8","Road transport diesel","Road Diesel B30 (€/L)",1.54
"2019"," 8","Road transport diesel","Road Diesel XTL (€/L)",2.004
"2019"," 8"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.681
"2019"," 8"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.652
"2019"," 8","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.681
"2019"," 8","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.652
"2019"," 8","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.438
"2019"," 9","Gasoline","Euro Super 95 E5 (€/L)",1.459
"2019"," 9","Gasoline","Euro Super 95 E10 (€/L)",1.474
"2019"," 9","Gasoline","Super Plus 98 E5 (€/L)",1.521
"2019"," 9","Gasoline","Super Plus 98 E10 (€/L)",1.531
"2019"," 9","Road transport diesel","Road Diesel B7 (€/L)",1.526
"2019"," 9","Road transport diesel","Road Diesel B10 (€/L)",1.533
"2019"," 9","Road transport diesel","Road Diesel B20 (€/L)",1.545
"2019"," 9","Road transport diesel","Road Diesel B30 (€/L)",1.569
"2019"," 9","Road transport diesel","Road Diesel XTL (€/L)",2.026
"2019"," 9"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.71
"2019"," 9"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.681
"2019"," 9","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.708
"2019"," 9","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.679
"2019"," 9","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.477
"2019","10","Gasoline","Euro Super 95 E5 (€/L)",1.448
"2019","10","Gasoline","Euro Super 95 E10 (€/L)",1.471
"2019","10","Gasoline","Super Plus 98 E5 (€/L)",1.521
"2019","10","Gasoline","Super Plus 98 E10 (€/L)",1.532
"2019","10","Road transport diesel","Road Diesel B7 (€/L)",1.521
"2019","10","Road transport diesel","Road Diesel B10 (€/L)",1.526
"2019","10","Road transport diesel","Road Diesel B20 (€/L)",1.536
"2019","10","Road transport diesel","Road Diesel B30 (€/L)",1.555
"2019","10","Road transport diesel","Road Diesel XTL (€/L)",1.968
"2019","10"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.706
"2019","10"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.676
"2019","10","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.705
"2019","10","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.675
"2019","10","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.511
"2019","11","Gasoline","Euro Super 95 E5 (€/L)",1.463
"2019","11","Gasoline","Euro Super 95 E10 (€/L)",1.474
"2019","11","Gasoline","Super Plus 98 E5 (€/L)",1.538
"2019","11","Gasoline","Super Plus 98 E10 (€/L)",1.548
"2019","11","Road transport diesel","Road Diesel B7 (€/L)",1.527
"2019","11","Road transport diesel","Road Diesel B10 (€/L)",1.539
"2019","11","Road transport diesel","Road Diesel B20 (€/L)",1.558
"2019","11","Road transport diesel","Road Diesel B30 (€/L)",1.596
"2019","11","Road transport diesel","Road Diesel XTL (€/L)",2.007
"2019","11"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.702
"2019","11"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.672
"2019","11","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.699
"2019","11","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.669
"2019","11","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.536
"2019","12","Gasoline","Euro Super 95 E5 (€/L)",1.467
"2019","12","Gasoline","Euro Super 95 E10 (€/L)",1.476
"2019","12","Gasoline","Super Plus 98 E5 (€/L)",1.542
"2019","12","Gasoline","Super Plus 98 E10 (€/L)",1.552
"2019","12","Road transport diesel","Road Diesel B7 (€/L)",1.538
"2019","12","Road transport diesel","Road Diesel B10 (€/L)",1.551
"2019","12","Road transport diesel","Road Diesel B20 (€/L)",1.573
"2019","12","Road transport diesel","Road Diesel B30 (€/L)",1.616
"2019","12","Road transport diesel","Road Diesel XTL (€/L)",2.081
"2019","12"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.714
"2019","12"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.684
"2019","12","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.711
"2019","12","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.681
"2019","12","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.552
"2020"," 1","Gasoline","Euro Super 95 E5 (€/L)",1.549
"2020"," 1","Gasoline","Euro Super 95 E10 (€/L)",1.501
"2020"," 1","Gasoline","Super Plus 98 E5 (€/L)",1.592
"2020"," 1","Gasoline","Super Plus 98 E10 (€/L)",1.56
"2020"," 1","Road transport diesel","Road Diesel B7 (€/L)",1.565
"2020"," 1","Road transport diesel","Road Diesel B10 (€/L)",1.555
"2020"," 1","Road transport diesel","Road Diesel B20 (€/L)",1.58
"2020"," 1","Road transport diesel","Road Diesel B30 (€/L)",1.629
"2020"," 1","Road transport diesel","Road Diesel XTL (€/L)",2.443
"2020"," 1"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (<2000L) (€/L)",0.696
"2020"," 1"," Gasoil Diesel (heating purposes)","Gasoil Diesel Heating (>=2000L) (€/L)",0.667
"2020"," 1","Heating gasoil","Heating gasoil 50S (<2000L) (€/L)",0.694
"2020"," 1","Heating gasoil","Heating gasoil 50S (>=2000L) (€/L)",0.665
"2020"," 1","Butane + LPG","Autogas LPG (at the pump) (€/L)",0.589
